Horizon,Regime,Leg,Mean,Std,P25,P75,Min,Max,N_years,Pct_above_50
1,Calm,long,46.9,6.5,44.0,50.1,31.3,55.2,13,30.8
1,Calm,short,51.2,3.3,49.9,53.9,44.7,55.0,13,69.2
1,Panic,long,38.8,7.3,32.0,43.6,28.1,49.1,10,0.0
1,Panic,short,64.1,11.9,55.5,70.0,43.5,82.9,10,90.0
2,Calm,long,48.6,8.0,45.4,52.8,30.0,59.8,13,53.8
2,Calm,short,45.9,3.7,44.5,47.8,40.8,53.9,13,7.7
2,Panic,long,39.4,8.8,30.6,45.9,27.2,51.7,10,10.0
2,Panic,short,54.4,5.8,51.3,58.2,43.6,61.7,10,80.0
3,Calm,long,49.0,8.8,46.0,53.4,29.3,61.7,13,53.8
3,Calm,short,45.5,4.5,42.7,47.9,39.0,54.7,13,7.7
3,Panic,long,38.0,9.0,28.9,43.8,27.1,51.4,10,10.0
3,Panic,short,52.4,2.9,51.8,54.5,46.9,55.8,10,80.0
4,Calm,long,49.4,9.9,45.9,53.8,28.9,64.1,13,53.8
4,Calm,short,44.1,5.8,41.8,47.2,35.7,57.6,13,7.7
4,Panic,long,37.3,8.9,30.2,42.4,24.9,50.9,10,10.0
4,Panic,short,50.8,3.2,50.2,53.2,43.2,53.7,10,80.0
5,Calm,long,51.1,11.0,46.5,56.3,29.4,67.0,13,69.2
5,Calm,short,39.9,7.6,35.9,42.2,31.1,59.8,13,7.7
5,Panic,long,37.7,9.9,30.2,42.1,24.3,52.3,10,20.0
5,Panic,short,47.6,3.3,45.0,50.5,42.2,51.8,10,30.0
6,Calm,long,53.4,12.0,46.6,59.3,31.0,69.9,13,69.2
6,Calm,short,35.9,9.5,31.0,39.4,26.5,62.1,13,7.7
6,Panic,long,39.2,11.0,32.6,44.3,22.7,54.5,10,20.0
6,Panic,short,44.3,4.2,41.1,47.6,38.3,50.7,10,10.0
7,Calm,long,54.5,12.8,46.4,61.0,31.7,72.0,13,69.2
7,Calm,short,33.0,11.6,27.2,36.3,22.9,65.3,13,7.7
7,Panic,long,39.7,11.6,34.6,45.7,20.8,55.4,10,20.0
7,Panic,short,41.7,4.9,38.9,44.9,34.0,50.0,10,0.0
8,Calm,long,55.8,13.6,46.4,62.7,32.5,74.2,13,69.2
8,Calm,short,30.3,13.6,23.2,32.4,18.8,68.4,13,7.7
8,Panic,long,40.0,12.1,36.2,46.3,19.4,56.0,10,20.0
8,Panic,short,39.6,5.8,36.9,43.8,30.1,49.2,10,0.0
9,Calm,long,55.3,13.9,45.4,63.4,32.7,73.6,13,69.2
9,Calm,short,29.2,15.3,21.3,30.6,16.5,72.5,13,7.7
9,Panic,long,40.4,12.2,37.7,47.6,18.8,56.1,10,20.0
9,Panic,short,37.9,6.0,34.9,42.0,27.3,48.1,10,0.0
10,Calm,long,54.2,13.8,44.0,62.7,32.4,73.4,13,61.5
10,Calm,short,29.8,16.0,21.4,30.8,16.4,75.6,13,7.7
10,Panic,long,40.1,11.9,37.9,48.0,18.7,54.9,10,20.0
10,Panic,short,37.6,5.9,34.5,41.7,26.6,47.6,10,0.0
11,Calm,long,53.7,13.4,42.9,62.3,32.6,73.5,13,61.5
11,Calm,short,29.5,16.3,20.9,30.1,15.5,76.3,13,7.7
11,Panic,long,40.0,11.7,37.4,48.0,18.6,54.2,10,20.0
11,Panic,short,36.9,5.8,33.9,40.3,25.9,47.3,10,0.0
12,Calm,long,50.6,13.2,39.0,58.4,31.1,70.5,13,61.5
12,Calm,short,33.5,15.8,25.2,35.1,18.8,77.9,13,7.7
12,Panic,long,38.4,11.0,35.3,46.1,18.2,51.6,10,20.0
12,Panic,short,39.9,5.9,37.2,42.8,27.7,50.0,10,10.0
