name,combo,passed,min_ess,n_sig,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD,['DD_z'],True,1069.0007500959157,1,0.9044619528369888,0.8648910468161433,0.9921581193984403,0.09359299432836242,0.14440969532214185
DD+VOL,"['DD_z', 'VOL_z']",True,529.269255886558,2,0.8946650390864959,0.860695339878907,0.9812295235527054,0.09461855259069822,0.12593743179552933
DD+DISP,"['DD_z', 'DISP_z']",True,1015.4373649211216,2,0.9223642057761164,0.8691728612430774,0.9987941596719265,0.09310417732221943,0.16048997760495445
DD+REL_N,"['DD_z', 'REL_N_z']",True,722.9603693210963,2,0.8964936263345635,0.8583768562604124,0.9515867158053959,0.10142258819668197,0.09767893272330316
DD+CS,"['DD_z', 'CS_z']",True,333.8501604224446,2,0.8217374343354064,0.8656234693863869,0.860460002033403,0.09177066679547059,0.14982991227035733
DD+LVIX,"['DD_z', 'LVIX_z']",False,5.197524427814613,2,0.9793960223665623,0.9215139533881004,0.8794807826548863,0.13059997711828542,0.09287512537290363
DD+ADR,"['DD_z', 'ADR_z']",True,1231.991816254457,2,0.898546572904108,0.8717233536463029,0.9876543217339654,0.09409815129214072,0.19322367194100057
DD+SKEW,"['DD_z', 'SKEW_z']",True,1177.3274668051936,2,0.9301221604861978,0.8885981612310573,0.7471586675423035,0.0948173986203062,0.11317812425457074
DD+TERM,"['DD_z', 'TERM_z']",True,702.2000067110675,2,0.8995823218094773,0.8588373188442914,0.9728800557751227,0.08840519478997193,0.12922812985514995
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",True,856.0943953539849,3,0.9759481776814722,0.8576285342571843,0.999740973592691,0.12487457043035594,0.12559009617761158
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",True,516.532829488566,3,0.8977259397567574,0.8666047676550948,0.9263872076212005,0.0997200103829361,0.07592471783671216
DD+VOL+CS,"['DD_z', 'VOL_z', 'CS_z']",True,564.3861458969914,3,0.8542260090654821,0.8636284713665525,0.847386361166568,0.09792179291102365,0.14035804827644346
DD+VOL+LVIX,"['DD_z', 'VOL_z', 'LVIX_z']",False,14.964509408783211,3,0.9177065263102833,0.8740280464145858,0.9821832538213057,0.09746809449208634,0.12457321116131526
DD+VOL+ADR,"['DD_z', 'VOL_z', 'ADR_z']",True,142.09665891337568,3,0.8833447684025084,0.856295563893457,0.8315815832390743,0.1065991822146128,0.15497628587959578
DD+VOL+SKEW,"['DD_z', 'VOL_z', 'SKEW_z']",True,748.7574105239263,3,0.9346445904324099,0.8874670794916415,0.741675738141822,0.09725190207098809,0.10645383350521424
DD+VOL+TERM,"['DD_z', 'VOL_z', 'TERM_z']",False,968.375766806375,3,0.25804836030680633,0.12841290412244677,0.4136432127174692,0.4555306423007013,0.3725224888097249
